,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total,Accuracy User,Comission Error
Forest,15358.0,21.0,645.0,31.0,63.0,221.0,3.0,0,5.0,3.0,16350,0.94,0.06
Shrubland,46.0,35.0,15.0,50.0,103.0,16.0,0.0,0,12.0,0.0,277,0.13,0.87
Flooded Forest,152.0,3.0,162.0,47.0,13.0,3.0,0.0,0,0.0,8.0,388,0.42,0.58
Wetland,7.0,9.0,23.0,159.0,38.0,3.0,0.0,0,0.0,14.0,253,0.63,0.37
Natural Grassland,11.0,7.0,16.0,173.0,420.0,8.0,0.0,0,5.0,0.0,640,0.66,0.34
Pastureland,277.0,24.0,19.0,20.0,94.0,3015.0,45.0,0,3.0,0.0,3497,0.86,0.14
Cropland,29.0,1.0,0.0,3.0,17.0,166.0,337.0,0,0.0,0.0,553,0.61,0.39
Bareland and Impervious,12.0,2.0,2.0,5.0,20.0,34.0,2.0,0,0.0,3.0,80,0.0,1.0
Rock Outcrop,15.0,1.0,0.0,0.0,11.0,0.0,0.0,0,6.0,1.0,34,0.18,0.82
Water,14.0,1.0,5.0,13.0,5.0,3.0,0.0,0,0.0,351.0,392,0.9,0.1
Total,15921.0,104.0,887.0,501.0,784.0,3469.0,387.0,0,31.0,380.0,22464,,
Accuracy Producer,0.96,0.34,0.18,0.32,0.54,0.87,0.87,0,0.19,0.92,,,
Omission Error,0.04,0.66,0.82,0.68,0.46,0.13,0.13,0,0.81,0.08,,,
