,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.94,0.96,0.94,0.96,0.95,0.06,0.04
Shrubland,0.13,0.34,0.13,0.34,0.18,0.87,0.66
Flooded Forest,0.42,0.18,0.42,0.18,0.25,0.58,0.82
Wetland,0.63,0.32,0.63,0.32,0.42,0.37,0.68
Natural Grassland,0.66,0.54,0.66,0.54,0.59,0.34,0.46
Pastureland,0.86,0.87,0.86,0.87,0.87,0.14,0.13
Cropland,0.61,0.87,0.61,0.87,0.72,0.39,0.13
Bareland and Impervious,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rock Outcrop,0.18,0.19,0.18,0.19,0.18,0.82,0.81
Water,0.9,0.92,0.9,0.92,0.91,0.1,0.08
