,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total,Accuracy User,Comission Error
Forest,19103.0,28.0,740.0,40.0,68.0,86.0,0.0,0,5.0,8.0,20078,0.95,0.05
Shrubland,71.0,33.0,16.0,76.0,101.0,13.0,0.0,0,13.0,3.0,326,0.1,0.9
Flooded Forest,136.0,2.0,160.0,44.0,9.0,0.0,0.0,0,0.0,20.0,371,0.43,0.57
Wetland,7.0,0.0,29.0,126.0,27.0,0.0,0.0,0,0.0,40.0,229,0.55,0.45
Natural Grassland,23.0,10.0,24.0,260.0,438.0,7.0,0.0,0,5.0,23.0,790,0.55,0.45
Pastureland,485.0,22.0,30.0,26.0,64.0,1128.0,4.0,0,2.0,1.0,1762,0.64,0.36
Cropland,7.0,1.0,0.0,2.0,4.0,9.0,2.0,0,0.0,0.0,25,0.08,0.92
Bareland and Impervious,1.0,2.0,0.0,5.0,12.0,16.0,0.0,0,0.0,6.0,42,0.0,1.0
Rock Outcrop,16.0,0.0,0.0,1.0,11.0,0.0,0.0,0,6.0,1.0,35,0.17,0.83
Water,12.0,0.0,4.0,10.0,4.0,1.0,0.0,0,0.0,336.0,367,0.92,0.08
Total,19861.0,98.0,1003.0,590.0,738.0,1260.0,6.0,0,31.0,438.0,24025,,
Accuracy Producer,0.96,0.34,0.16,0.21,0.59,0.9,0.33,0,0.19,0.77,,,
Omission Error,0.04,0.66,0.84,0.79,0.41,0.1,0.67,0,0.81,0.23,,,
