,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total,Accuracy User,Comission Error
Forest,18401.0,25.0,729.0,40.0,63.0,99.0,0.0,0,5.0,3.0,19365,0.95,0.05
Shrubland,57.0,31.0,17.0,71.0,101.0,12.0,0.0,0,13.0,4.0,306,0.1,0.9
Flooded Forest,137.0,3.0,160.0,40.0,10.0,2.0,0.0,0,0.0,19.0,371,0.43,0.57
Wetland,6.0,4.0,26.0,119.0,24.0,1.0,0.0,0,0.0,48.0,228,0.52,0.48
Natural Grassland,21.0,8.0,25.0,252.0,437.0,8.0,0.0,0,5.0,21.0,777,0.56,0.44
Pastureland,450.0,23.0,29.0,37.0,70.0,1839.0,3.0,0,2.0,2.0,2455,0.75,0.25
Cropland,8.0,2.0,0.0,2.0,8.0,19.0,6.0,0,0.0,0.0,45,0.13,0.87
Bareland and Impervious,5.0,1.0,0.0,8.0,13.0,20.0,0.0,0,0.0,2.0,49,0.0,1.0
Rock Outcrop,14.0,0.0,0.0,1.0,11.0,2.0,0.0,0,6.0,1.0,35,0.17,0.83
Water,12.0,0.0,5.0,9.0,5.0,2.0,0.0,0,0.0,342.0,375,0.91,0.09
Total,19111.0,97.0,991.0,579.0,742.0,2004.0,9.0,0,31.0,442.0,24006,,
Accuracy Producer,0.96,0.32,0.16,0.21,0.59,0.92,0.67,0,0.19,0.77,,,
Omission Error,0.04,0.68,0.84,0.79,0.41,0.08,0.33,0,0.81,0.23,,,
