,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total,Accuracy User,Comission Error
Forest,17302.0,19.0,734.0,41.0,61.0,131.0,0.0,0,5.0,2.0,18295,0.95,0.05
Shrubland,53.0,29.0,14.0,67.0,99.0,15.0,1.0,0,13.0,0.0,291,0.1,0.9
Flooded Forest,141.0,3.0,162.0,43.0,9.0,2.0,0.0,0,0.0,10.0,370,0.44,0.56
Wetland,8.0,3.0,26.0,139.0,30.0,2.0,0.0,0,0.0,21.0,229,0.61,0.39
Natural Grassland,17.0,8.0,27.0,258.0,444.0,6.0,1.0,0,5.0,9.0,775,0.57,0.43
Pastureland,437.0,24.0,26.0,28.0,70.0,2757.0,40.0,0,2.0,1.0,3385,0.81,0.19
Cropland,14.0,1.0,0.0,5.0,12.0,51.0,88.0,0,0.0,0.0,171,0.51,0.49
Bareland and Impervious,2.0,3.0,0.0,5.0,16.0,23.0,0.0,0,0.0,2.0,51,0.0,1.0
Rock Outcrop,15.0,0.0,0.0,1.0,11.0,1.0,0.0,0,6.0,1.0,35,0.17,0.83
Water,11.0,1.0,5.0,7.0,8.0,1.0,0.0,0,0.0,344.0,377,0.91,0.09
Total,18000.0,91.0,994.0,594.0,760.0,2989.0,130.0,0,31.0,390.0,23979,,
Accuracy Producer,0.96,0.32,0.16,0.23,0.58,0.92,0.68,0,0.19,0.88,,,
Omission Error,0.04,0.68,0.84,0.77,0.42,0.08,0.32,0,0.81,0.12,,,
