,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total,Accuracy User,Comission Error
Forest,15955.0,16.0,654.0,30.0,62.0,110.0,0.0,0,4.0,1.0,16832,0.95,0.05
Shrubland,47.0,35.0,14.0,48.0,102.0,16.0,0.0,0,12.0,0.0,274,0.13,0.87
Flooded Forest,139.0,3.0,167.0,43.0,13.0,2.0,0.0,0,0.0,5.0,372,0.45,0.55
Wetland,7.0,7.0,27.0,135.0,37.0,3.0,0.0,0,0.0,15.0,231,0.58,0.42
Natural Grassland,12.0,9.0,19.0,142.0,459.0,6.0,0.0,0,5.0,0.0,652,0.7,0.3
Pastureland,397.0,30.0,32.0,12.0,81.0,3076.0,46.0,0,4.0,0.0,3678,0.84,0.16
Cropland,22.0,1.0,0.0,1.0,19.0,104.0,313.0,0,0.0,0.0,460,0.68,0.32
Bareland and Impervious,5.0,1.0,1.0,7.0,18.0,26.0,1.0,0,0.0,3.0,62,0.0,1.0
Rock Outcrop,12.0,1.0,0.0,0.0,11.0,3.0,0.0,0,6.0,1.0,34,0.18,0.82
Water,10.0,1.0,6.0,15.0,3.0,4.0,0.0,0,0.0,342.0,381,0.9,0.1
Total,16606.0,104.0,920.0,433.0,805.0,3350.0,360.0,0,31.0,367.0,22976,,
Accuracy Producer,0.96,0.34,0.18,0.31,0.57,0.92,0.87,0,0.19,0.93,,,
Omission Error,0.04,0.66,0.82,0.69,0.43,0.08,0.13,0,0.81,0.07,,,
