,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total,Accuracy User,Comission Error
Forest,16156.0,21.0,692.0,36.0,70.0,207.0,1.0,0,5.0,1.0,17189,0.94,0.06
Shrubland,48.0,33.0,17.0,50.0,101.0,16.0,0.0,0,12.0,0.0,277,0.12,0.88
Flooded Forest,159.0,3.0,177.0,46.0,14.0,2.0,0.0,0,0.0,3.0,404,0.44,0.56
Wetland,9.0,7.0,24.0,165.0,41.0,2.0,0.0,0,0.0,9.0,257,0.64,0.36
Natural Grassland,12.0,8.0,19.0,154.0,446.0,9.0,0.0,0,5.0,0.0,653,0.68,0.32
Pastureland,302.0,25.0,25.0,16.0,98.0,2960.0,51.0,0,3.0,2.0,3482,0.85,0.15
Cropland,27.0,2.0,0.0,4.0,23.0,152.0,311.0,0,0.0,0.0,519,0.6,0.4
Bareland and Impervious,9.0,4.0,2.0,7.0,18.0,29.0,4.0,0,0.0,3.0,76,0.0,1.0
Rock Outcrop,14.0,1.0,0.0,0.0,11.0,1.0,0.0,0,6.0,1.0,34,0.18,0.82
Water,12.0,1.0,8.0,19.0,3.0,2.0,0.0,0,0.0,356.0,401,0.89,0.11
Total,16748.0,105.0,964.0,497.0,825.0,3380.0,367.0,0,31.0,375.0,23292,,
Accuracy Producer,0.96,0.31,0.18,0.33,0.54,0.88,0.85,0,0.19,0.95,,,
Omission Error,0.04,0.69,0.82,0.67,0.46,0.12,0.15,0,0.81,0.05,,,
