,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total,Accuracy User,Comission Error
Forest,16492.0,19.0,700.0,33.0,64.0,124.0,1.0,0,4.0,1.0,17438,0.95,0.05
Shrubland,46.0,37.0,14.0,48.0,103.0,16.0,0.0,0,13.0,0.0,277,0.13,0.87
Flooded Forest,140.0,3.0,165.0,46.0,11.0,1.0,0.0,0,0.0,5.0,371,0.44,0.56
Wetland,6.0,7.0,26.0,129.0,40.0,4.0,0.0,0,0.0,19.0,231,0.56,0.44
Natural Grassland,14.0,9.0,21.0,166.0,490.0,8.0,0.0,0,5.0,0.0,713,0.69,0.31
Pastureland,364.0,26.0,33.0,9.0,83.0,3042.0,52.0,0,3.0,1.0,3613,0.84,0.16
Cropland,29.0,3.0,0.0,1.0,18.0,98.0,299.0,0,0.0,0.0,448,0.67,0.33
Bareland and Impervious,4.0,1.0,1.0,6.0,18.0,28.0,2.0,0,0.0,4.0,64,0.0,1.0
Rock Outcrop,12.0,1.0,0.0,0.0,11.0,3.0,0.0,0,6.0,1.0,34,0.18,0.82
Water,11.0,1.0,5.0,15.0,4.0,4.0,0.0,0,0.0,344.0,384,0.9,0.1
Total,17118.0,107.0,965.0,453.0,842.0,3328.0,354.0,0,31.0,375.0,23573,,
Accuracy Producer,0.96,0.35,0.17,0.28,0.58,0.91,0.84,0,0.19,0.92,,,
Omission Error,0.04,0.65,0.83,0.72,0.42,0.09,0.16,0,0.81,0.08,,,
