,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,93.93,0.13,3.94,0.19,0.39,1.35,0.02,0.0,0.03,0.02
Shrubland,16.61,12.64,5.42,18.05,37.18,5.78,0.0,0.0,4.33,0.0
Flooded Forest,39.18,0.77,41.75,12.11,3.35,0.77,0.0,0.0,0.0,2.06
Wetland,2.77,3.56,9.09,62.85,15.02,1.19,0.0,0.0,0.0,5.53
Natural Grassland,1.72,1.09,2.5,27.03,65.62,1.25,0.0,0.0,0.78,0.0
Pastureland,7.92,0.69,0.54,0.57,2.69,86.22,1.29,0.0,0.09,0.0
Cropland,5.24,0.18,0.0,0.54,3.07,30.02,60.94,0.0,0.0,0.0
Bareland and Impervious,15.0,2.5,2.5,6.25,25.0,42.5,2.5,0.0,0.0,3.75
Rock Outcrop,44.12,2.94,0.0,0.0,32.35,0.0,0.0,0.0,17.65,2.94
Water,3.57,0.26,1.28,3.32,1.28,0.77,0.0,0.0,0.0,89.54
