,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total,Accuracy User,Comission Error
Forest,18625.0,24.0,733.0,36.0,63.0,103.0,0.0,0,5.0,2.0,19591,0.95,0.05
Shrubland,60.0,29.0,17.0,74.0,101.0,14.0,0.0,0,13.0,1.0,309,0.09,0.91
Flooded Forest,136.0,3.0,161.0,47.0,8.0,2.0,0.0,0,0.0,14.0,371,0.43,0.57
Wetland,7.0,1.0,29.0,121.0,30.0,3.0,0.0,0,0.0,39.0,230,0.53,0.47
Natural Grassland,24.0,7.0,24.0,264.0,435.0,5.0,0.0,0,5.0,20.0,784,0.55,0.45
Pastureland,477.0,23.0,35.0,39.0,66.0,1607.0,5.0,0,2.0,1.0,2255,0.71,0.29
Cropland,8.0,2.0,1.0,2.0,7.0,16.0,1.0,0,0.0,0.0,37,0.03,0.97
Bareland and Impervious,2.0,2.0,0.0,6.0,14.0,16.0,0.0,0,0.0,3.0,43,0.0,1.0
Rock Outcrop,14.0,0.0,0.0,1.0,11.0,2.0,0.0,0,6.0,1.0,35,0.17,0.83
Water,15.0,0.0,5.0,10.0,4.0,0.0,0.0,0,0.0,336.0,370,0.91,0.09
Total,19368.0,91.0,1005.0,600.0,739.0,1768.0,6.0,0,31.0,417.0,24025,,
Accuracy Producer,0.96,0.32,0.16,0.2,0.59,0.91,0.17,0,0.19,0.81,,,
Omission Error,0.04,0.68,0.84,0.8,0.41,0.09,0.83,0,0.81,0.19,,,
