,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total,Accuracy User,Comission Error
Forest,19204.0,32.0,725.0,38.0,74.0,61.0,0.0,0,5.0,2.0,20141,0.95,0.05
Shrubland,74.0,30.0,16.0,74.0,105.0,11.0,0.0,0,13.0,2.0,325,0.09,0.91
Flooded Forest,135.0,2.0,165.0,45.0,7.0,0.0,0.0,0,0.0,18.0,372,0.44,0.56
Wetland,9.0,2.0,30.0,121.0,33.0,0.0,0.0,0,0.0,33.0,228,0.53,0.47
Natural Grassland,23.0,8.0,27.0,253.0,434.0,7.0,0.0,0,5.0,17.0,774,0.56,0.44
Pastureland,408.0,24.0,29.0,25.0,58.0,856.0,3.0,0,2.0,1.0,1406,0.61,0.39
Cropland,4.0,0.0,0.0,2.0,2.0,10.0,2.0,0,0.0,0.0,20,0.1,0.9
Bareland and Impervious,3.0,1.0,0.0,7.0,13.0,11.0,0.0,0,0.0,2.0,37,0.0,1.0
Rock Outcrop,15.0,1.0,0.0,0.0,11.0,1.0,0.0,0,6.0,1.0,35,0.17,0.83
Water,12.0,0.0,4.0,13.0,4.0,1.0,0.0,0,0.0,324.0,358,0.91,0.09
Total,19887.0,100.0,996.0,578.0,741.0,958.0,5.0,0,31.0,400.0,23696,,
Accuracy Producer,0.97,0.3,0.17,0.21,0.59,0.89,0.4,0,0.19,0.81,,,
Omission Error,0.03,0.7,0.83,0.79,0.41,0.11,0.6,0,0.81,0.19,,,
